,t,vdz_subsurfstor,overland_flow,surf_stor,vdz_et,dom_tot,bndy_flux,exp_wb,dom_tot_chg,diff,pc_diff,prcp_v
0,0,3257324.8071149876,-77.11816779574471,76216.53872252666,653.5290890240659,3333541.3458375144,576.4109212283212,3334694.167674698,576.4109159554355,-5.272885687190865e-06,1.5812201725436426e-10,914.4144000000001
1,1,3257821.490745603,-82.63217049504094,76296.2660078667,508.1875708877931,3334117.75675347,425.5554003927521,3334968.8675374505,425.55538358772174,-1.6805030384148267e-05,5.039036660200413e-10,717.5952000000001
2,2,3258192.830925684,-89.5690454450058,76350.48121137351,624.7872100381134,3334543.3121370575,535.2181645931075,3335613.7484791125,535.2181774619967,1.2868889143646811e-05,3.8580273718785445e-10,862.7903999999999
3,3,3258654.785394285,-81.53669675656928,76423.74492023475,187.40990353516221,3335078.5303145195,105.87320677859293,3335290.2769233948,105.87340209679678,0.00019531820385054743,5.856108093557505e-09,281.5344
4,4,3258756.019606162,-76.45832124939619,76428.38411045464,136.8137442023983,3335184.4037166163,60.35542295300212,3335305.114578338,60.35543876839802,1.581539589778913e-05,4.741813823467414e-10,210.94559999999998
5,5,3258815.944700945,-71.34598412945016,76428.81445443972,21.382970095240793,3335244.7591553847,-49.963014034209365,3335144.8331145225,-49.96302682813257,-1.279392320441275e-05,3.836092237249305e-10,56.4192
6,6,3258780.9103133907,-67.92463095829963,76413.88581516608,-19.576361836984862,3335194.7961285566,-87.50099279528449,3335019.7941428646,-87.50099289650097,-1.0121648585936782e-07,3.0349590739200253e-12,0.0
7,7,3258712.2461395627,-66.10334821714109,76395.04899609755,-18.26956925038042,3335107.29513566,-84.37291746752152,3334938.549274532,-84.37294366024435,-2.6192722828000115e-05,7.85403462192668e-10,0.0
8,8,3258644.6325466326,-65.0839347537664,76378.28964536742,-17.460296734840192,3335022.922192,-82.54423148860658,3334857.833703269,-82.54425724223256,-2.575362597667663e-05,7.722555881213663e-10,0.0
9,9,3258577.553794205,-64.49588184251603,76362.82414055221,-16.733170673531976,3334940.3779347576,-81.229052516048,3334777.9197490145,-81.22913322690874,-8.07108607432383e-05,2.4202769325434675e-09,0.0
10,10,3258510.6438279236,-64.15700281831985,76348.50497360715,-15.913394895318095,3334859.1488015307,-80.07039771363795,3334699.00800655,-80.0703972671181,4.465198486514055e-07,1.339010949951764e-11,0.0
11,11,3258444.185825922,-63.926698958619575,76334.89257834169,-16.415645168641092,3334779.0784042636,-80.34234412726067,3334618.393715833,-80.34234430361539,-1.7635471749599674e-07,5.288602672747843e-12,0.0
12,12,3258377.321059282,-63.71994750012646,76321.41500067827,-18.653518486976374,3334698.73605996,-82.37346598710283,3334533.9891275377,-82.3734664353542,-4.4825137024417927e-07,1.3442699090959388e-11,0.0
13,13,3258308.9247947875,-64.14205910973114,76307.43779873727,41.38198642222283,3334616.3625935246,-22.760072687508305,3334570.8425054457,-22.760015391279012,5.729622929351308e-05,1.7182489741457489e-09,79.4448
14,14,3258291.118979738,-63.84640104200602,76302.48359839519,-21.491538572287737,3334593.6025781333,-85.33793961429376,3334422.926695205,-85.337943314109,-3.6998152381784166e-06,1.1095818735403662e-10,0.0
15,15,3258220.4101563036,-63.954179179112174,76287.85447851582,15.99455992608696,3334508.2646348192,-47.95961925302521,3334412.3453958575,-47.9596197088249,-4.5579969309983426e-07,1.3669565905044724e-11,55.6848
16,16,3258181.8720410024,-63.72079820762149,76278.43297410807,-22.738682477750487,3334460.3050151104,-86.45948068537197,3334287.386053678,-86.45948074711487,-6.174289524096821e-08,1.8517568551295303e-12,0.0
17,17,3258110.833078608,-63.46995271096074,76263.0124557554,-29.389437139292088,3334373.8455343633,-92.85938985025282,3334188.126753079,-92.85939143411815,-1.5838653268929193e-06,4.750377803172521e-11,0.0
18,18,3258034.051403449,-63.316175667403535,76246.93473948007,-28.62925349916279,3334280.986142929,-91.94542916656633,3334097.0952826906,-91.94543107179925,-1.9052329207625007e-06,5.714389432323837e-11,0.0
19,19,3257957.8354553506,-63.205517494629476,76231.20525650689,-28.383262085403892,3334189.0407118574,-91.58877958003336,3334005.8631520392,-91.58878023829311,-6.582597507076571e-07,1.974380903113723e-11,0.0
20,20,3257881.7533271965,-63.11282830627772,76215.69860442281,-28.274412876206625,3334097.451931619,-91.38724118248435,3333914.6774381665,-91.38725227024406,-1.1087759716588153e-05,3.32574789379678e-10,0.0
21,21,3257805.8673290927,-63.03431795089322,76200.19735025632,-27.235594902471124,3334006.064679349,-90.26991285336435,3333825.5248523997,-90.26991409575567,-1.242391320488423e-06,3.726623697691642e-11,0.0
22,22,3257731.0735221435,-62.96237791799983,76184.72124310961,-27.37888208708972,3333915.794765253,-90.34126000508955,3333735.1122441893,-90.34126105858013,-1.0534905783288195e-06,3.160090837629974e-11,0.0
23,23,3257656.426746658,-62.89143349050921,76169.02675753654,-29.589186948920986,3333825.4535041945,-92.4806204394302,3333640.492263512,-92.48062024265528,1.9677491991387797e-07,5.902703676972365e-12,0.0
24,24,3257580.122068005,-62.822541304692066,76152.85081594659,-31.54252264450863,3333732.972883952,-94.3650639492007,3333544.242735514,-94.36508448887616,-2.0539675460895523e-05,6.161512781975445e-10,0.0
25,25,3257502.368110739,-62.77203157439664,76136.23968872365,-31.70321252491975,3333638.607799463,-94.4752440993164,3333449.6573120314,-94.47524333233014,7.669862611692224e-07,2.3008784893055544e-11,0.0
26,26,3257424.5067613996,-62.736958280009574,76119.62579473089,-31.888704344666372,3333544.1325561306,-94.62566262467595,3333354.881231183,-94.62566232262179,3.020541612386296e-07,9.06156625984765e-12,0.0
27,27,3257346.435800472,-62.70852886076696,76103.07109333614,-31.962767089757033,3333449.506893808,-94.671295950524,3333260.164299189,-94.67129866825417,-2.717730168910748e-06,8.153369478983183e-11,0.0
