,t,vdz_subsurfstor,overland_flow,surf_stor,vdz_et,dom_tot,bndy_flux,exp_wb,dom_tot_chg,diff,pc_diff,prcp_v
0,0,3159145.995294008,-26.562120179052872,63804.89885318293,660.6703601684152,3222950.8941471907,634.1082399893623,3224219.1106277,634.1082405201159,5.307535957399523e-07,1.6461461753342924e-11,914.4144000000001
1,1,3159467.843561949,-26.44689693259504,64117.15882576186,522.178646610401,3223585.002387711,495.7317496778059,3224576.4658868485,495.73174945963547,-2.1817044171257294e-07,6.765863486898891e-12,717.5952000000001
2,2,3159711.7873303806,-26.345664668190604,64368.94680678972,636.2155099100866,3224080.7341371705,609.869845241896,3225300.4738340145,609.8698516022414,6.3603454236726975e-06,1.9720163982464424e-10,862.7903999999999
3,3,3160044.1894473773,-26.239330794494425,64646.41454139546,196.89015561925297,3224690.6039887727,170.65082482475853,3225031.9056602963,170.65084669878706,2.1874028533375167e-05,6.782577404888234e-10,281.5344
4,4,3160035.4415282374,-26.138700523990696,64825.813307233984,145.33972934578784,3224861.2548354715,119.20102882179715,3225099.65689882,119.20103452634066,5.704543511342308e-06,1.7687960429810914e-10,210.94559999999998
5,5,3159989.0895744823,-26.041038215492254,64991.3662955154,29.153948788437862,3224980.455869998,3.1129105729456086,3224986.6816859967,3.112905425950885,-5.146994723759235e-06,1.5959739471136137e-10,56.4192
6,6,3159853.2732827417,-25.948318603104443,65130.29549268198,-12.524103321571614,3224983.568775424,-38.472421924676055,3224906.623933162,-38.472420337144285,1.5875317700420055e-06,4.9227216635060874e-11,0.0
7,7,3159686.0954878037,-25.86031311307564,65259.00086728284,-11.776545901635686,3224945.0963550867,-37.63685901471133,3224869.8226256105,-37.63687046151608,-1.1446804755621542e-05,3.5495401009092e-10,0.0
8,8,3159517.897744389,-25.777960329512123,65389.56174023638,-11.355452176483658,3224907.459484625,-37.13341250599578,3224833.192659202,-37.1334129171446,-4.1114881810244697e-07,1.2749460004268098e-11,0.0
9,9,3159350.177123831,-25.70109645454223,65520.14894787697,-10.976359839214068,3224870.326071708,-36.6774562937563,3224796.9711524053,-36.677463009022176,-6.715265875811838e-06,2.0823840805742532e-10,0.0
10,10,3159182.835907452,-25.629510772976232,65650.81270124706,-10.537399697774287,3224833.648608699,-36.16691047075052,3224761.314833643,-36.16686458513141,4.588561911589295e-05,1.4229152063076046e-09,0.0
11,11,3159015.862273784,-25.562882408135305,65781.61947033,-10.940704505187798,3224797.481744114,-36.503586913323105,3224724.474570413,-36.503586787264794,1.2605831045675586e-07,3.9091187929644415e-12,0.0
12,12,3158848.880105962,-25.50065214453436,65912.09805136465,-12.424686253448865,3224760.9781573266,-37.925338397983225,3224685.127620297,-37.92519863136113,0.0001397666220981364,4.334271923202598e-09,0.0
13,13,3158679.4898117795,-25.445616236221362,66043.56314691559,47.49690674737936,3224723.052958695,22.051290511158,3224767.1555426726,22.051293466240168,2.9550821665225158e-06,9.163707095699523e-11,79.4448
14,14,3158557.8537339205,-25.392342537130123,66187.2505182408,-15.10736926328333,3224745.1042521615,-40.49971180041345,3224664.104829008,-40.49971135286614,4.475473076581693e-07,1.3878881431028954e-11,0.0
15,15,3158386.6981299254,-25.344769035125285,66317.90641088311,22.974961351867886,3224704.6045408086,-2.369807683257399,3224699.864924985,-2.3698081402108073,-4.569534084453153e-07,1.4170416708097119e-11,55.6848
16,16,3158247.3274154994,-25.299520166043305,66454.90731716917,-15.99708120930761,3224702.2347326684,-41.29660137535092,3224619.6415457753,-41.296585517469794,1.585788112379305e-05,4.917752444189451e-10,0.0
17,17,3158076.5953258392,-25.257925732823196,66584.3428213116,-23.497395008480893,3224660.938147151,-48.75532074130409,3224563.427518708,-48.755307701416314,1.3039887775789794e-05,4.0439234857364704e-10,0.0
18,18,3157901.315703795,-25.2202220660429,66710.86713565468,-23.21304529651541,3224612.1828394495,-48.43326736255831,3224515.316362618,-48.433209469076246,5.789348206519662e-05,1.7954165629612445e-09,0.0
19,19,3157726.435208025,-25.18624214303803,66837.31442195541,-22.53772375877345,3224563.7496299804,-47.72396590181148,3224468.3016995764,-47.72396450210363,1.3997078553984466e-06,4.3408950699272753e-11,0.0
20,20,3157552.3001683024,-25.15587101556863,66963.7254971761,-21.660529842381603,3224516.0256654783,-46.81640085795023,3224422.3928623176,-46.81640230258927,-1.4446390395050912e-06,4.480303333406285e-11,0.0
21,21,3157379.051674008,-25.12904470907236,67090.1575891678,-19.442029037456766,3224469.2092631757,-44.57107374652912,3224380.06714996,-44.57103946944699,3.427708213621372e-05,1.0630596090525812e-09,0.0
