	scaled	unscaled
1	6416904.14109834	2380099.66861137
2	6476904.14109837	2455095.2476862
3	6536904.14109837	2530069.93555366
4	6596904.14109837	2605042.59358513
5	6656904.14109836	2680018.76241761
6	6709371.42939618	2739933.03614634
7	6754456.8778939	2785086.42809801
8	6799541.25483854	2830239.51630129
9	6844624.63668142	2875390.30175258
10	6889707.06052048	2920498.00651924
11	6934788.56120845	2965637.52401242
12	6979869.17153853	3010783.54464506
13	7018275.56262918	3049789.30079637
14	7018893.79003134	3050463.36858313
15	7019422.78172457	3051027.1746242
16	7019933.57925344	3051584.18277751
17	7020430.39131492	3052135.15851334
18	7020916.2702645	3052680.70259963
19	7021393.44636483	3053221.29824939
