,t,vdz_subsurfstor,overland_flow,surf_stor,vdz_et,dom_tot,bndy_flux,exp_wb,dom_tot_chg,diff,pc_diff,prcp_v
0,0,3300179.1695667207,-101.02172046685699,63804.89885318293,658.2963252542331,3363984.0684199035,557.2746047873761,3365098.617625033,557.2746003419161,-4.445460035640281e-06,1.3210489619402976e-10,914.4144000000001
1,1,3300653.213788347,-112.7511453788233,63888.12923189865,512.18109239482,3364541.3430202454,399.4299470159967,3365340.202959706,399.42999244481325,4.542881657698672e-05,1.3499026498727696e-09,717.5952000000001
2,2,3301006.9943379643,-126.63425095866236,63933.77867472594,627.8313061038452,3364940.7730126902,501.19705514518284,3365943.1671177517,501.1970499162562,-5.228926625022723e-06,1.553480366544703e-10,862.7903999999999
3,3,3301450.204401355,-105.09541634794591,63991.76566125168,189.81654117523485,3365441.9700626065,84.72112482728893,3365611.412312469,84.72112503508106,2.0779212661636848e-07,6.173978548331495e-12,281.5344
4,4,3301547.2226136606,-91.71760772963471,63979.46857398082,139.08067927138543,3365526.6911876416,47.36307154175073,3365621.4173999787,47.36314079537988,6.925362914955713e-05,2.057677336836571e-09,210.94559999999998
5,5,3301603.8993013026,-78.52775387787062,63970.15502713449,23.44749162211151,3365574.054328437,-55.08026225575911,3365463.8937471514,-55.080319029744714,-5.677398560521851e-05,1.6869586897277814e-09,56.4192
6,6,3301570.3741473723,-69.66628879899939,63948.59986203505,-17.62627977124334,3365518.974009407,-87.29256857024274,3365344.3888749536,-87.29256588313729,2.6871054501498293e-06,7.984637349546677e-11,0.0
7,7,3301504.9685374843,-65.08877019483639,63926.71290603956,-16.399009347246345,3365431.681443524,-81.48777954208273,3365268.7058840944,-81.48777988785878,-3.457760442415747e-07,1.0274842054573334e-11,0.0
8,8,3301438.775812564,-62.651508190493146,63911.417851072365,-15.682757483712047,3365350.193663636,-78.3342656742052,3365193.525128126,-78.33426983607933,-4.161874130659271e-06,1.236741393795714e-10,0.0
9,9,3301372.5274469294,-61.32482713635536,63899.3319468709,-15.058031301735337,3365271.8593938,-76.3828584380907,3365119.0936768823,-76.38285847986117,-4.1770476855163e-08,1.2412778178831903e-12,0.0
10,10,3301306.669046291,-60.61167361109295,63888.80748902919,-14.381637853041694,3365195.4765353203,-74.99331146413464,3365045.4899118943,-74.99331196164712,-4.975124880957082e-07,1.4784718054695136e-11,0.0
11,11,3301241.1755849374,-60.13432097634207,63879.30763842121,-14.847477670267295,3365120.4832233586,-74.98179864660936,3364970.5195391676,-74.98188554449007,-8.689788070626037e-05,2.582426211512873e-09,0.0
12,12,3301175.443920449,-59.655622479703204,63870.057417365475,-16.774001125591028,3365045.501337814,-76.42962360529424,3364892.6420257185,-76.42968849046156,-6.488516731906202e-05,1.9282982912643576e-09,0.0
13,13,3301108.7245517243,-61.95063210405913,63860.347097599275,43.09699174154903,3364969.0716493237,-18.8536403625101,3364931.3643657845,-18.853643176611513,-2.8141014141169762e-06,8.363027679904469e-11,79.4448
14,14,3301089.5490191504,-60.484550376354036,63860.668986996505,-20.50274419261804,3364950.218006147,-80.98729456897208,3364788.243335386,-80.98737619211897,-8.162314689741379e-05,2.425803378833251e-09,0.0
15,15,3301019.937535985,-61.1387360182724,63849.293093969856,17.436858862017537,3364869.230629955,-43.70187715625486,3364781.8268738696,-43.70187892904505,-1.7727901919784017e-06,5.268663120501499e-11,55.6848
